Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Ryan_Con1,Familiarization_Mixed_Desc,F-5,3259.961700066924,21833.046299987473,0
Ryan_Con1,Familiarization_Mixed_Desc,5-heptagon,2855.528499931097,24820.575200021267,0
Ryan_Con1,Familiarization_Mixed_Desc,heptagon-E,3735.369399888441,28682.788799982518,0
Ryan_Con1,Familiarization_Mixed_Desc,E-4,2545.4020999604836,31381.711599999107,0
Ryan_Con1,Familiarization_Mixed_Desc,4-hexagon,3098.9883999573067,34650.76260000933,0
Ryan_Con1,Familiarization_Mixed_Desc,hexagon-D,4748.615099932067,39537.49040002003,1
Ryan_Con1,Familiarization_Mixed_Desc,D-3,3427.4363999720663,43133.93539993558,0
Ryan_Con1,Familiarization_Mixed_Desc,3-pentagon,9158.558700000867,52419.10820000339,2
Ryan_Con1,Familiarization_Mixed_Desc,pentagon-C,1249.877900001593,53781.25749994069,0
Ryan_Con1,Familiarization_Mixed_Desc,C-2,2781.6081000491977,56697.18380004633,0
Ryan_Con1,Familiarization_Mixed_Desc,2-square,2242.775100050494,59133.003899944015,0
Ryan_Con1,Familiarization_Mixed_Desc,square-B,2622.864400036633,61904.382599983364,0
Ryan_Con1,Familiarization_Mixed_Desc,B-1,2745.305299991742,64771.07110002544,0
Ryan_Con1,Familiarization_Mixed_Desc,1-triangle,1549.7460999758914,66477.30369993951,0
Ryan_Con1,Familiarization_Mixed_Desc,triangle-A,579.7593999886885,67184.77349996101,0
Ryan_Con1,Experimental_Ascending_1,Start-triangle,1103.524100035429,1103.5356998909265,0
Ryan_Con1,Experimental_Ascending_1,triangle-A,2543.810199946165,3789.956899941899,0
Ryan_Con1,Experimental_Ascending_1,A-1,889.8256999673322,4817.026299890131,0
Ryan_Con1,Experimental_Ascending_1,1-square,1070.5819999566302,6001.568699954078,0
Ryan_Con1,Experimental_Ascending_1,square-B,3030.1750999642536,9179.243999999017,0
Ryan_Con1,Experimental_Ascending_1,B-2,1418.5154000297189,10777.000499889255,0
Ryan_Con1,Experimental_Ascending_1,2-pentagon,1824.6576000237837,12761.089999927208,0
Ryan_Con1,Experimental_Ascending_1,pentagon-C,2995.405900059268,15900.120599893853,0
Ryan_Con1,Experimental_Ascending_1,C-3,1927.8370999963954,17964.901799918152,0
Ryan_Con1,Experimental_Ascending_1,3-hexagon,3826.2137999990955,21946.05299993418,1
Ryan_Con1,Experimental_Ascending_1,hexagon-D,7863.987599965185,29946.145799942315,0
Ryan_Con1,Experimental_Ascending_1,D-4,2726.621999987401,32819.03749995399,0
Ryan_Con1,Experimental_Ascending_1,4-heptagon,1668.3049999410287,34687.52289994154,0
Ryan_Con1,Experimental_Ascending_1,heptagon-E,2359.468499897048,37190.183399943635,0
Ryan_Con1,Experimental_Ascending_1,E-5,3215.3095999965444,40552.56219999865,0
Ryan_Con1,Experimental_Ascending_1,5-octagon,2294.564999989234,42991.65639991406,0
Ryan_Con1,Experimental_Ascending_1,octagon-F,845.1129000168294,43999.214499956,0
